,DiaBlaBitextMining,FloresBitextMining,AmazonReviewsClassification,MTOPDomainClassification,MTOPIntentClassification,MasakhaNEWSClassification,MassiveIntentClassification,MassiveScenarioClassification,AlloProfClusteringP2P,AlloProfClusteringS2S,HALClusteringS2S,MLSUMClusteringP2P,MLSUMClusteringS2S,MasakhaNEWSClusteringP2P,MasakhaNEWSClusteringS2S,OpusparcusPC,PawsX,AlloprofReranking,SyntecReranking,AlloprofRetrieval,BSARDRetrieval,MintakaRetrieval,SyntecRetrieval,XPQARetrieval,SICKFr,STS22,STSBenchmarkMultilingualSTS,SummEvalFr
DiaBlaBitextMining,1.0,0.9153208823560719,0.7699547511312217,0.7943891402714932,0.8324886877828054,0.47255531972902765,0.8321266968325792,0.8152036199095023,0.4510407239819004,0.4001809954751131,0.5781900452488687,0.43918552036199093,0.7045248868778281,0.3160180995475113,0.5418099547511313,0.8679638009049774,0.4804524886877828,0.6608144796380091,0.7498359693314893,0.6559276018099548,0.5082835748797191,0.8004524886877828,0.739247494476407,0.7112217194570136,0.7683257918552037,0.6334841628959276,0.6908597285067873,0.3036199095022624
FloresBitextMining,0.9153208823560719,1.0,0.7239870362879718,0.804200071754983,0.8247592614647044,0.5074945964298985,0.8334980669341608,0.8275188842445327,0.45759145060854023,0.3973856802952847,0.5580417197942927,0.4775527220492987,0.7380611124650964,0.2637279503255975,0.5502687822977762,0.831934280692258,0.44807075201813235,0.6434060511169836,0.7443330977385442,0.6479134349907032,0.48987242377215423,0.7870904105200471,0.7273150389012915,0.7026459534572991,0.7479037670464843,0.6616655551768479,0.6961148462117053,0.34417095435759437
AmazonReviewsClassification,0.7699547511312217,0.7239870362879718,1.0,0.8327601809954751,0.8023529411764706,0.6615231465209858,0.8593665158371041,0.825972850678733,0.7084162895927602,0.6198190045248869,0.7557466063348416,0.6404524886877828,0.8027149321266969,0.505972850678733,0.5195475113122172,0.7907692307692308,0.6120361990950226,0.8546606334841629,0.8928256297676432,0.8186425339366515,0.7871628254660535,0.8352036199095023,0.8835041519037674,0.7927601809954751,0.8649773755656108,0.7541176470588236,0.7952941176470588,0.4413574660633484
MTOPDomainClassification,0.7943891402714932,0.804200071754983,0.8327601809954751,1.0,0.9524886877828054,0.6142811898229963,0.9713122171945702,0.9664253393665159,0.6417194570135747,0.5444343891402715,0.7727601809954752,0.6496832579185521,0.8761990950226244,0.4879638009049774,0.6289592760180995,0.8702262443438914,0.6247963800904978,0.8703167420814479,0.8902011360001442,0.9047058823529411,0.7421691596516051,0.8763800904977376,0.8988891153684169,0.9400904977375566,0.7708597285067873,0.8561990950226245,0.7163800904977375,0.25131221719457014
MTOPIntentClassification,0.8324886877828054,0.8247592614647044,0.8023529411764706,0.9524886877828054,1.0,0.5973120961814771,0.9384615384615385,0.9182805429864254,0.6394570135746607,0.47248868778280545,0.7132126696832579,0.6254298642533936,0.8273303167420815,0.44760180995475113,0.5909502262443439,0.8804524886877828,0.6480542986425339,0.7664253393665158,0.8102898257690532,0.8066968325791856,0.6520460322506326,0.8058823529411765,0.820154302343446,0.8703167420814479,0.74289592760181,0.8106787330316743,0.6834389140271493,0.2571945701357466
MasakhaNEWSClassification,0.47255531972902765,0.5074945964298985,0.6615231465209858,0.6142811898229963,0.5973120961814771,1.0,0.5841893304320355,0.5682610078671961,0.6449613111268631,0.3317344679626067,0.44938685054380667,0.6103443600981638,0.484365808903525,0.7651477450251966,0.42119552964069606,0.496131047161645,0.43264401148417436,0.6931082861524003,0.6494105936454233,0.7091723614663719,0.6244851157749567,0.6101633564326543,0.6809511959568204,0.5979456090107604,0.574731888909162,0.7007104401038009,0.467306213429251,0.22145798475092035
MassiveIntentClassification,0.8321266968325792,0.8334980669341608,0.8593665158371041,0.9713122171945702,0.9384615384615385,0.5841893304320355,1.0,0.9753846153846154,0.5937556561085973,0.5649773755656109,0.7720361990950226,0.5981900452488688,0.8738461538461538,0.4638914027149321,0.5991855203619909,0.9079638009049774,0.6323076923076923,0.8514027149321267,0.8842734000769998,0.8782805429864253,0.7019283458598098,0.9023529411764706,0.8929613794452725,0.8947511312217195,0.8117647058823529,0.8062443438914028,0.764524886877828,0.2506787330316742
MassiveScenarioClassification,0.8152036199095023,0.8275188842445327,0.825972850678733,0.9664253393665159,0.9182805429864254,0.5682610078671961,0.9753846153846154,1.0,0.5713122171945701,0.5981900452488688,0.7714027149321266,0.6015384615384616,0.885158371040724,0.43176470588235294,0.6403619909502263,0.8513122171945702,0.5635294117647058,0.8404524886877828,0.8731871764039436,0.8722171945701358,0.6719627454884166,0.895475113122172,0.8782551643687693,0.9112217194570136,0.7795475113122172,0.7805429864253394,0.7427149321266968,0.1716742081447964
AlloProfClusteringP2P,0.4510407239819004,0.45759145060854023,0.7084162895927602,0.6417194570135747,0.6394570135746607,0.6449613111268631,0.5937556561085973,0.5713122171945701,1.0,0.4367420814479638,0.6114932126696833,0.8131221719457014,0.6542081447963801,0.5314932126696833,0.44995475113122174,0.5038914027149322,0.4872398190045249,0.6085972850678733,0.703681078937541,0.6257013574660634,0.7078580945737863,0.6100452488687783,0.7216905361696894,0.6240723981900452,0.5960180995475113,0.6870588235294117,0.5065158371040724,0.41873303167420817
AlloProfClusteringS2S,0.4001809954751131,0.3973856802952847,0.6198190045248869,0.5444343891402715,0.47248868778280545,0.3317344679626067,0.5649773755656109,0.5981900452488688,0.4367420814479638,1.0,0.7972850678733032,0.4841628959276018,0.689683257918552,0.2521266968325792,0.5333031674208145,0.4915837104072398,0.29547511312217195,0.5713122171945701,0.5322292360917855,0.5529411764705883,0.5731486886745928,0.583710407239819,0.5391072197583346,0.5275113122171946,0.5260633484162895,0.2519457013574661,0.539366515837104,0.23619909502262443
HALClusteringS2S,0.5781900452488687,0.5580417197942927,0.7557466063348416,0.7727601809954752,0.7132126696832579,0.44938685054380667,0.7720361990950226,0.7714027149321266,0.6114932126696833,0.7972850678733032,1.0,0.6192760180995475,0.855475113122172,0.40036199095022623,0.6149321266968326,0.705972850678733,0.5504977375565611,0.7528506787330317,0.7973936063942734,0.7781900452488688,0.8027340739974119,0.7012669683257918,0.8066245844730631,0.7942081447963801,0.6664253393665158,0.5690497737556561,0.6816289592760181,0.3226244343891403
MLSUMClusteringP2P,0.43918552036199093,0.4775527220492987,0.6404524886877828,0.6496832579185521,0.6254298642533936,0.6103443600981638,0.5981900452488688,0.6015384615384616,0.8131221719457014,0.4841628959276018,0.6192760180995475,1.0,0.754027149321267,0.4607239819004525,0.5501357466063348,0.46099547511312217,0.40497737556561086,0.6262443438914027,0.638475983782953,0.652579185520362,0.6262901008135892,0.55710407239819,0.656213941659843,0.6565610859728507,0.47058823529411764,0.583710407239819,0.3764705882352941,0.3509502262443439
MLSUMClusteringS2S,0.7045248868778281,0.7380611124650964,0.8027149321266969,0.8761990950226244,0.8273303167420815,0.484365808903525,0.8738461538461538,0.885158371040724,0.6542081447963801,0.689683257918552,0.855475113122172,0.754027149321267,1.0,0.3676018099547511,0.6537556561085973,0.7524886877828054,0.5011764705882353,0.7731221719457013,0.8390235075339132,0.8025339366515837,0.7257831364877919,0.803076923076923,0.8376660107576206,0.843710407239819,0.7396380090497737,0.6809049773755657,0.6975565610859729,0.34036199095022623
MasakhaNEWSClusteringP2P,0.3160180995475113,0.2637279503255975,0.505972850678733,0.4879638009049774,0.44760180995475113,0.7651477450251966,0.4638914027149321,0.43176470588235294,0.5314932126696833,0.2521266968325792,0.40036199095022623,0.4607239819004525,0.3676018099547511,1.0,0.2842533936651584,0.37990950226244347,0.3724886877828054,0.5392760180995475,0.5132242812236891,0.5904072398190046,0.49144489914231987,0.5428959276018099,0.5305097401751482,0.44380090497737557,0.36171945701357466,0.5517647058823529,0.28760180995475115,0.16389140271493213
MasakhaNEWSClusteringS2S,0.5418099547511313,0.5502687822977762,0.5195475113122172,0.6289592760180995,0.5909502262443439,0.42119552964069606,0.5991855203619909,0.6403619909502263,0.44995475113122174,0.5333031674208145,0.6149321266968326,0.5501357466063348,0.6537556561085973,0.2842533936651584,1.0,0.4774660633484163,0.22253393665158372,0.5532126696832579,0.5653974073258681,0.5817194570135746,0.4803549110894629,0.5559276018099547,0.5689268989442288,0.6669683257918552,0.5002714932126697,0.44986425339366515,0.4691402714932127,0.19990950226244344
OpusparcusPC,0.8679638009049774,0.831934280692258,0.7907692307692308,0.8702262443438914,0.8804524886877828,0.496131047161645,0.9079638009049774,0.8513122171945702,0.5038914027149322,0.4915837104072398,0.705972850678733,0.46099547511312217,0.7524886877828054,0.37990950226244347,0.4774660633484163,1.0,0.6290497737556561,0.7257013574660633,0.8047693388787965,0.7295927601809955,0.6477458328015656,0.8022624434389141,0.8025068442516422,0.7885067873303168,0.8152036199095023,0.7290497737556562,0.7808144796380091,0.363710407239819
PawsX,0.4804524886877828,0.44807075201813235,0.6120361990950226,0.6247963800904978,0.6480542986425339,0.43264401148417436,0.6323076923076923,0.5635294117647058,0.4872398190045249,0.29547511312217195,0.5504977375565611,0.40497737556561086,0.5011764705882353,0.3724886877828054,0.22253393665158372,0.6290497737556561,1.0,0.6678733031674208,0.6282042581756724,0.668235294117647,0.6767608627684282,0.5475113122171946,0.6457612164823899,0.5826244343891402,0.5686877828054299,0.6139366515837104,0.5681447963800905,0.25529411764705884
