model,bge-m3,distilbert-base-25lang-cased,distilbert-base-en-fr-cased,distilbert-base-fr-cased,sentence-camembert-large,sentence-flaubert-base,Solon-embeddings-base-0.1,Solon-embeddings-large-0.1,sentence-croissant-llm-base,bert-base-multilingual-cased,bert-base-multilingual-uncased,camembert-base,camembert-large,sentence-camembert-base,embed-multilingual-light-v3.0,embed-multilingual-v3.0,flaubert_base_cased,flaubert_base_uncased,flaubert_large_cased,e5-mistral-7b-instruct,multilingual-e5-base,multilingual-e5-large,multilingual-e5-small,udever-bloom-1b1,udever-bloom-560m,laser2,bge-m3-custom-fr,sentence_croissant_alpha_v0.2,sentence_croissant_alpha_v0.3,mistral-embed,LaBSE,all-MiniLM-L12-v2,all-MiniLM-L6-v2,distiluse-base-multilingual-cased-v2,multi-qa-MiniLM-L6-cos-v1,paraphrase-multilingual-MiniLM-L12-v2,paraphrase-multilingual-mpnet-base-v2,sentence-t5-base,sentence-t5-large,sentence-t5-xl,sentence-t5-xxl,text2vec-base-multilingual,text-embedding-3-large,text-embedding-3-small,text-embedding-ada-002,voyage-2,voyage-code-2,universal-sentence-encoder-multilingual-3,universal-sentence-encoder-multilingual-large-3,xlm-roberta-base,xlm-roberta-large
bge-m3,1.0,0.5589053321936026,0.571365005204288,0.5411057993211948,0.9691845649026006,0.8975414450911595,0.9577214063195372,0.9933244325767691,0.94471020720304,0.6287684987178029,0.7070864433563969,0.3037045296354568,0.4392034736266606,0.893981538516678,0.94471020720304,0.9715175789942145,0.41317165680076434,0.3657804005279788,0.1891200367693321,0.9167779261237206,0.9780843313388046,0.9870939029817535,0.969737427681353,0.7028590542992,0.5130715350471526,0.8153093012906097,0.9811992495914759,0.9785293196606147,0.9807542612696657,0.9700745415462211,0.9163328882955051,0.8012014734192527,0.7437979799057378,0.940809968847352,0.7295583536078116,0.9380353823758871,0.951385032030193,0.9064412115273635,0.9500500670647624,0.9572763684913218,0.9700745415462211,0.8970964567693493,0.9643969737427681,0.9777481085892301,0.9731894597988924,0.8659472742426358,0.9478251254557114,0.9207832665776591,0.8998664886515354,0.5428857526084356,0.45566804153363777
distilbert-base-25lang-cased,0.5589053321936026,1.0,0.9991101223581758,0.9924360400444939,0.6858731924360401,0.7793103448275862,0.635888311866766,0.5775948417096307,0.7414905450500556,0.9630700778642937,0.9328142380422692,0.7379310344827587,0.8304783092324806,0.7721913236929923,0.6863181312569522,0.6741573075424426,0.7459399332591768,0.6413793103448275,0.639599555061179,0.5700300402388574,0.628476084538376,0.5949493862602282,0.6376682651540068,0.8705228031145718,0.8028921023359288,0.7756146449151666,0.585761957730812,0.632035595105673,0.6044493882091212,0.6231368186874304,0.7342307309868187,0.7130144605116796,0.7236929922135706,0.7168761864362212,0.6538375973303671,0.7254727474972191,0.6916573971078976,0.7557285873192436,0.7254727474972191,0.695961735311142,0.6387096774193548,0.7575083426028921,0.5152964766562037,0.5775948417096307,0.5959955506117909,0.7098998887652948,0.632035595105673,0.7146512448271701,0.7115363265744988,0.8665183537263627,0.825139043381535
distilbert-base-en-fr-cased,0.571365005204288,0.9991101223581758,1.0,0.9915461624026697,0.6978865406006675,0.7908787541713015,0.6470130199120209,0.5887195497548855,0.7526140155728588,0.9626251390433815,0.9354838709677419,0.7441601779755284,0.8353726362625139,0.7819799777530589,0.6974416017797553,0.6835020623004566,0.7512791991101223,0.6476084538375974,0.6382647385984427,0.578484818353251,0.6391546162402669,0.6060740943054831,0.6483479848774514,0.8780867630700778,0.8077864293659622,0.7867393529604215,0.5982202447163515,0.6431590656284761,0.6169076751946607,0.6351501668520578,0.7458004273538837,0.7241379310344828,0.7352614015572859,0.7275559061596658,0.667630700778643,0.7348164627363738,0.7005561735261402,0.7664071190211346,0.7352614015572859,0.7070864433563969,0.6484983314794216,0.7695216907675194,0.5264211847014585,0.5878295731112652,0.6044493882091212,0.7187986651835373,0.6413793103448275,0.7253309645506149,0.7217710579761333,0.8727474972191324,0.8291434927697442
distilbert-base-fr-cased,0.5411057993211948,0.9924360400444939,0.9915461624026697,1.0,0.6707452725250278,0.768186874304783,0.6131939074544461,0.5589053321936026,0.7290322580645161,0.9532814238042269,0.9225806451612903,0.7895439377085651,0.8669632925472748,0.771301446051168,0.6756395995550611,0.6581377279572757,0.7766407119021135,0.6836484983314794,0.6889877641824249,0.5526754956882599,0.610678531701891,0.5775948417096307,0.6203137206034093,0.8825361512791992,0.8211345939933259,0.7551451821118977,0.5657397107897664,0.617797552836485,0.5897664071190212,0.6129032258064516,0.7146512448271701,0.7294771968854282,0.7468298109010011,0.6986316652420033,0.6858731924360401,0.7085650723025584,0.6756395995550611,0.746384872080089,0.7139043381535038,0.6826120856568363,0.6222469410456062,0.7383759733036708,0.4988319087492265,0.5611302738026536,0.5804226918798665,0.707230255839822,0.6240266963292548,0.6968517119547625,0.6897318988057993,0.8674082313681869,0.8402669632925472
sentence-camembert-large,0.9691845649026006,0.6858731924360401,0.6978865406006675,0.6707452725250278,1.0,0.9630700778642937,0.9553899269264847,0.972299483155272,0.9746384872080089,0.728587319243604,0.7966629588431591,0.43759733036707454,0.5706340378197998,0.9541713014460512,0.9541713014460512,0.9691845649026006,0.5172413793103449,0.457174638487208,0.2827586206896552,0.9104461064236552,0.9741935483870968,0.9758593897297535,0.972299483155272,0.7882091212458286,0.6124582869855395,0.8494827063356587,0.9599555061179088,0.9710789766407119,0.9710789766407119,0.96440489432703,0.9335854991577852,0.8522803114571746,0.8095661846496107,0.9589498335009662,0.778420467185762,0.9648498331479421,0.9728587319243605,0.9470522803114572,0.967964404894327,0.9647346816844987,0.9581757508342603,0.9310344827586207,0.9362554290886463,0.9629547283972579,0.9630700778642937,0.9078976640711902,0.9590656284760846,0.9415952889503687,0.9206808378252896,0.63559510567297,0.5577308120133482
sentence-flaubert-base,0.8975414450911595,0.7793103448275862,0.7908787541713015,0.768186874304783,0.9630700778642937,1.0,0.8930915618730576,0.9046612582401227,0.9541713014460512,0.7979977753058954,0.8527252502780868,0.5519466073414906,0.667630700778643,0.9612903225806452,0.9319243604004449,0.9211258261470998,0.617797552836485,0.5328142380422692,0.37664071190211346,0.8210034537398063,0.9056729699666296,0.905551234883743,0.9086661531364144,0.8780867630700778,0.7054505005561735,0.8490377180138485,0.8852057842046719,0.9225806451612903,0.9110122358175751,0.9043381535038932,0.9015463399874513,0.871412680756396,0.8313681868743048,0.9166759429289979,0.8202447163515016,0.9230255839822025,0.9350389321468298,0.9488320355951056,0.9417130144605117,0.9362554290886463,0.9087875417130145,0.9119021134593993,0.8597174377372931,0.8792969238969417,0.8909899888765295,0.917686318131257,0.9265850945494994,0.8922015852294373,0.8628323559899646,0.7041156840934372,0.6422691879866519
Solon-embeddings-base-0.1,0.9577214063195372,0.635888311866766,0.6470130199120209,0.6131939074544461,0.9553899269264847,0.8930915618730576,1.0,0.9684023141967067,0.9407053123067483,0.6999666302074338,0.7765046215587871,0.3993770188246483,0.5362109277812828,0.8744020523570295,0.9286906276178731,0.9701824655095683,0.4910446131175481,0.4409834269139014,0.29680721064739884,0.8722741433021807,0.9593948218227764,0.9581664441477525,0.9550511793502447,0.7264434353551403,0.5904995030421263,0.8651535380507344,0.9500500670647624,0.9593948218227764,0.933140510835975,0.9260206976870119,0.9581664441477525,0.7927466953048591,0.7651574193526272,0.9706275033377837,0.7273334119987607,0.942485265593989,0.9451551955248503,0.9140060129981367,0.9456001838466604,0.9492656875834445,0.9531649853174337,0.9318055458705444,0.9194481530930129,0.9394748553627058,0.9549449386046744,0.8343531033941122,0.8953165034821086,0.9737427681352915,0.9439252336448598,0.6341083585795252,0.5442207175738663
Solon-embeddings-large-0.1,0.9933244325767691,0.5775948417096307,0.5887195497548855,0.5589053321936026,0.972299483155272,0.9046612582401227,0.9684023141967067,1.0,0.9482701137775216,0.6514629031301228,0.7208810813325128,0.3099343661407995,0.46323284300441103,0.8948715151602984,0.9456001838466604,0.9746328437917223,0.41584158673162547,0.36444543556254816,0.19178996670019324,0.9114374721851357,0.9731894597988924,0.9839786381842457,0.9661771250556297,0.7130937857008345,0.5241962430924075,0.8161993769470405,0.9794192963042351,0.9829792028787167,0.9785293196606147,0.9700745415462211,0.9212283044058746,0.8038714033501139,0.7473578864802194,0.9443702714730752,0.7277784003205708,0.9429302539157992,0.9580598568573458,0.907776176492794,0.9527199969956235,0.9554962171784601,0.9665146349717395,0.8997663867002105,0.9670672007120605,0.9764129951045839,0.9731894597988924,0.8695071808171174,0.9473801371339012,0.9279038718291055,0.9052069425901201,0.5495605774355885,0.4610079013953601
sentence-croissant-llm-base,0.94471020720304,0.7414905450500556,0.7526140155728588,0.7290322580645161,0.9746384872080089,0.9541713014460512,0.9407053123067483,0.9482701137775216,1.0,0.771301446051168,0.8620689655172413,0.5012235817575084,0.6373748609566184,0.939043381535039,0.9612903225806452,0.972299483155272,0.5728587319243604,0.5078976640711902,0.34505005561735264,0.8953165034821086,0.9692992213570634,0.9527199969956235,0.9647346816844987,0.8447163515016686,0.6654060066740823,0.8904216319421965,0.9301446051167964,0.9621802002224694,0.9510567296996663,0.9417130144605117,0.9522750086738133,0.8433815350389321,0.8064516129032258,0.9633997167190681,0.7837597330367074,0.9612903225806452,0.9617352614015573,0.9555061179087876,0.9755283648498332,0.9674046116153598,0.9572858731924361,0.9426028921023359,0.9082211648146042,0.9407053123067483,0.9457174638487208,0.8883203559510567,0.9279199110122358,0.946935148812091,0.9104461064236552,0.7005561735261402,0.6258064516129033
bert-base-multilingual-cased,0.6287684987178029,0.9630700778642937,0.9626251390433815,0.9532814238042269,0.728587319243604,0.7979977753058954,0.6999666302074338,0.6514629031301228,0.771301446051168,1.0,0.9016685205784205,0.6800889877641825,0.7810901001112347,0.7797552836484983,0.7236929922135706,0.7386806142049206,0.6938820912124583,0.6075639599555062,0.5986651835372636,0.6238736271778907,0.6840934371523916,0.6714873776115814,0.7035265367819153,0.8442714126807565,0.7717463848720801,0.8370230333249733,0.675194660734149,0.696551724137931,0.6609566184649611,0.6720800889877642,0.7894092828912826,0.689432703003337,0.6916573971078976,0.7684948317662036,0.6222469410456062,0.7988876529477197,0.7655172413793103,0.7624026696329255,0.7690767519466073,0.7426855091012123,0.7010011123470523,0.8175750834260289,0.5931694329729874,0.6327733936140947,0.6351501668520578,0.7076751946607341,0.6622914349276975,0.7458004273538837,0.7778395865242176,0.8496106785317019,0.7935483870967742
