,AmazonReviewsClassification,MasakhaNEWSClassification,MassiveIntentClassification,MassiveScenarioClassification,MTOPDomainClassification,MTOPIntentClassification,AlloProfClusteringP2P,AlloProfClusteringS2S,HALClusteringS2S,MasakhaNEWSClusteringP2P,MasakhaNEWSClusteringS2S,MLSUMClusteringP2P,MLSUMClusteringS2S,OpusparcusPC,AlloprofReranking,SyntecReranking,AlloprofRetrieval,BSARDRetrieval,SyntecRetrieval,SICKFr,STS22,STSBenchmarkMultilingualSTS,SummEvalFr,FloresBitextMining_fra_Latn-eng_Latn,FloresBitextMining_eng_Latn-fra_Latn,DiaBLaBitextMining_fr-en
AmazonReviewsClassification,1.0,0.7291702816467406,0.8827474560592045,0.8507169287696578,0.8523358001850139,0.8450508788159112,0.6652405180388529,0.4648473635522664,0.6653561517113784,0.7288390379278445,0.7083718778908418,0.543940795559667,0.7769426456984274,,0.8622263336416898,0.8604315587544434,0.7797982137339682,0.39220369304182096,0.822256993765338,0.8569611470860314,0.7406336725254394,0.8193460730202464,0.2978723404255319,0.7427670530693989,0.7503169688206008,0.7420518675087476
MasakhaNEWSClassification,0.7291702816467406,1.0,0.7166233027301326,0.7098005215681062,0.7479618399319828,0.722578781202071,0.7877421233173574,0.18999710930863448,0.41208441815052893,0.9483665815216746,0.7516623314096922,0.6724486857149784,0.6289679108518947,,0.7344887148544363,0.7954651103786485,0.8038104603087529,0.3668421390011213,0.8199907944101019,0.6694420363893396,0.835964152886256,0.5944953600449191,0.2202370631030398,0.6076514907416821,0.5962392672245183,0.5090202611357422
MassiveIntentClassification,0.8827474560592045,0.7166233027301326,1.0,0.9796484736355227,0.9754856614246068,0.9438020351526365,0.5129509713228492,0.4362858464384829,0.6737974098057354,0.6898704902867715,0.7309204440333025,0.42437557816836263,0.7829555966697502,,0.8978723404255319,0.8809070072486,0.8723078260995313,0.33053868104113593,0.8701487207516703,0.9041396854764108,0.7709296947271045,0.8784365879187498,0.09100370027752082,0.8362652476887905,0.8551866648672679,0.8245706007805815
MassiveScenarioClassification,0.8507169287696578,0.7098005215681062,0.9796484736355227,1.0,0.973404255319149,0.9281914893617021,0.498149861239593,0.45906567992599445,0.6547178538390379,0.6848982423681776,0.7666512488436633,0.41154024051803884,0.79868177613321,,0.8865248226950354,0.8524496042567214,0.8542106331805179,0.2941083425392903,0.8533750482564573,0.8856382978723404,0.7642229417206291,0.871556185499061,0.012488436632747455,0.8186217345513107,0.8256397983496895,0.8012581335333818
MTOPDomainClassification,0.8523358001850139,0.7479618399319828,0.9754856614246068,0.973404255319149,1.0,0.9517807585568918,0.5671831637372803,0.3893385753931545,0.6589962997224792,0.7177382053654024,0.7649167437557817,0.47490749306197966,0.7964847363552267,,0.8808510638297873,0.8866910322469493,0.8872250010934783,0.3356330047991176,0.8877321567466522,0.8745374653098983,0.8146392229417206,0.85299644451822,0.06648936170212766,0.8271949909350157,0.8240292773235741,0.799777976882766
MTOPIntentClassification,0.8450508788159112,0.722578781202071,0.9438020351526365,0.9281914893617021,0.9517807585568918,1.0,0.5691489361702128,0.33036540240518036,0.6255781683626273,0.6836262719703978,0.7377428307123034,0.5056660499537465,0.7668825161887142,,0.8053654024051804,0.814622080767517,0.7815327689658225,0.3349814052486781,0.7924114247738556,0.8191489361702128,0.7615633672525439,0.7895117230323523,0.12939407955596668,0.8235296132057505,0.8340021190622117,0.7887384751969228
AlloProfClusteringP2P,0.6652405180388529,0.7877421233173574,0.5129509713228492,0.498149861239593,0.5671831637372803,0.5691489361702128,1.0,0.3019195189639223,0.4855457909343201,0.7687326549491211,0.6709065679925994,0.8238899167437558,0.605804810360777,,0.5299414122725871,0.6258893450713789,0.5191523808939943,0.1661578853620764,0.633061536069332,0.49861239592969475,0.6253469010175763,0.4528923710371597,0.3553422756706753,0.47817648105345967,0.44741512967813096,0.4004440471853639
AlloProfClusteringS2S,0.4648473635522664,0.18999710930863448,0.4362858464384829,0.45906567992599445,0.3893385753931545,0.33036540240518036,0.3019195189639223,1.0,0.7229417206290472,0.21739130434782608,0.5048566142460684,0.2705827937095282,0.5951665124884367,,0.39858156028368796,0.3269709331566865,0.29435402284567597,-0.01954798651318546,0.314708800160186,0.4070305272895467,0.021160962072155412,0.4133445117508815,0.00578168362627197,0.37641565528165677,0.41433750552637655,0.36522865353946177
HALClusteringS2S,0.6653561517113784,0.41208441815052893,0.6737974098057354,0.6547178538390379,0.6589962997224792,0.6255781683626273,0.4855457909343201,0.7229417206290472,1.0,0.37407493061979646,0.6778445883441259,0.4592969472710453,0.7521970397779834,,0.6487203206907185,0.6400023660673513,0.5632679022908221,0.08334550613349073,0.6144369755746473,0.5873034227567068,0.36609620721554115,0.6294122751321998,0.09296947271045329,0.5401772772196741,0.5644256765370523,0.5133676649885984
MasakhaNEWSClusteringP2P,0.7288390379278445,0.9483665815216746,0.6898704902867715,0.6848982423681776,0.7177382053654024,0.6836262719703978,0.7687326549491211,0.21739130434782608,0.37407493061979646,1.0,0.7501156336725254,0.6731036077705828,0.6081174838112858,,0.7261794634597595,0.755162303784486,0.7468994828364648,0.33948336577898747,0.7444040172875563,0.6312442183163737,0.7731267345050878,0.5705530342646102,0.2379740980573543,0.5765825543272911,0.5649212214681648,0.5043633786973519
