hal_id,title,domain,lang
tel-03993881,Sur l'approximation numérique de quelques problèmes en mécanique des fluides,math,fr
halshs-03678490,Une affaire de famille & de génie : Camille & Paul Claudel,shs,fr
hal-03997685,Axiomatization and completeness of lexicographic products of modal logics,info,en
halshs-03995602,"Handicap, accès à la justice, et responsabilité de l'État",shs,fr
hal-03999162,Les réfugiés et la responsabilité des Etats pour fait internationalement illicite: un instrument de lutte contre les migrations contraintes?,shs,fr
hal-03999692,Les réactions aux cyberattaques: représailles et légitime défense,shs,fr
hal-03999413,"L'Etat tiers, trop ou trop peu protégé?",shs,fr
hal-03988895,Étude de la condensation convective dans un tube miniature vertical,spi,fr
hal-03988864,Extension des performances des systèmes diphasiques à pompage capillaire : utilisation des forces Électro-Hydro-Dynamique (EHD),spi,fr
hal-03989427,Les matériaux organiques en électronique de puissance,spi,fr
halshs-02568765,La réponse législative du Royaume-Uni à la crise sanitaire liée au Coronavirus,shs,fr
hal-03996329,«‘‘La guerre des Balkans n’aura pas lieu’’. Réactions contre la guerre dans l’espace public français pendant les conflits balkaniques de 1912-3.»,shs,fr
halshs-03998047,« Paysages en suspension : la littérature japonaise au présent. Défis et dynamiques »,shs,fr
tel-03992091,Développement de matériaux bifonctionnels régénérables en mode multicycle et multigaz pour un procédé de désulfuration (DeSOx) des fumées industrielles,spi,fr
hal-02293376,Financement d'un bien immobilier par des époux séparés de biens : à quand le rétablissement de la logique séparatiste ?,shs,fr
halshs-03639355,Les Pachulski de Lubartów : monographie d’une famille juive persécutée,shs,fr
hal-03991282,Mise en chantier des notions d’enveloppe(s) psychique(s) et de moi-peau individuelles et groupales,scco,fr
hal-03991210,Le moment prolétarien de la libre pensée française (années 1920-1930),shs,fr
hal-03990940,Modernités des troubadours,shs,fr
hal-03995654,Le discours de haine dans l’interaction parent-enfant : Une notion opérationnelle pour caractériser la maltraitance parentale ?,shs,fr
hal-03995019,Résonateur reconfigurable à base de lignes couplées à éléments d'accord intégrés sur substrat silicium,spi,fr
hal-03988140,Facebook devant la Cour de cassation : prouver en produisant une page issue d’un réseau social,shs,fr
halshs-04167487,Unité foncière située en totalité dans la zone de préemption. Illégalité de la décision prise en vue de préempter une fraction du bien,shs,fr
hal-04174998,L’évolution de la plaine alluviale de Tours au Quaternaire récent,sdu,fr
hal-04184461,"Liberté de conscience, liberté de religion, liberté d’opinion, liberté d’expression : Autonomie ou confusion des libertés fondamentales ?",shs,fr
hal-04183772,Rôle potentiel des macrophytes aquatiques dans la régulation des blooms de cyanobactéries : approche allélopathique,sde,fr
hal-04183771,Intérêt potentiel des extraits végétaux d’ Egeria densa et de Lagarosiphon major pour le biocontrôle,sde,fr
hal-04169903,Étude de la variation géographique et temporelle de la phénologie de floraison chez le peuplier noir de Loire,math,fr
hal-04183449,Vers un système d'information coopératif de veille pour l'entreprise étendue,info,fr
halshs-00004329,"Extension de la datation par thermoluminescence à une retombée trachy-andesitique rapportée au Puy de Pariou (Chaîne des Puys, France).",shs,fr
halshs-00004091,Les lycéens et la musique,shs,fr
hal-00006270,"Etude par réduction thermogrammée (RTP) des hétéropolyacides HnXW12O40 (X=P, Si) purs et supportés sur silice",chim,fr
hal-00005969,Comparaison des propriétés catalytiques de quelques oxydes sulfatés,chim,fr
hal-00006297,Interactions donneur-accepteur en catalyse hétérogène,chim,fr
inria-00000536,MPFR : vers un calcul flottant correct ?,info,ca
inria-00000543,Actes de l'Ecole d'Eté Temps Réel 2005 - ETR'2005,info,fr
halshs-00005181,Le travail en cours d'études a-t-il une valeur professionnelle ?,shs,fr
halshs-00005183,Dévalorisation des diplômes et accès au premier emploi,shs,fr
inria-00000558,Exemples de systèmes temps réel et choix d'implémentation,info,fr
hal-00013042,Hauteur asymptotique des points de Heegner,math,fr
hal-00013156,Horizon 'soufre zéro' dans les essences par alkylation catalytique,chim,fr
hal-00012711,Modéliser l'intonation d'une langue. Où commence et où s'arrête l'autonomie du modèle ? L'exemple du français parlé,scco,fr
hal-00012730,Spécification et validation des systèmes monopuces (Traité EGEM série Electronique et micro-éléctronique),spi,fr
hal-00012731,"Conception de haut niveau des systèmes monopuces (Traité EGEM, Série électronique et micro-électronique)",spi,fr
hal-00012732,Conception logique et physique des systèmes monopuces (Traité EGEM Série électronique et micro-électronique),spi,fr
hal-00012734,"Dispositifs et physique des microsystèmes sur silicium (Traité EGEM, série Electronique et micro-électronique)",spi,fr
inria-00000601,L3.2 : Etat de l'art des protocoles de gestion des clés dans les communications de groupe,info,fr
halshs-00005243,Sacré et territoire en Méditerranée,shs,fr
hal-00013346,The GAPT system: a test chain for microprocessors,spi,en
inria-00000527,Réseaux sans fil de nouvelle génération,info,fr
hal-00012664,Pragmatique de l'interprétation de conférence : discours spontané vs discours lu,scco,fr
edutice-00000867,Revue de l'EPI n° 79 de septembre 1995,shs,ca
inria-00000066,Les CSP extrêmaux,info,fr
inria-00000070,Automatisation de l'application de l'hypothèse de récurrence dans la preuve des formules implicatives,info,fr
inria-00000074,Un système de types pour CHR,info,fr
hal-00004909,Corpus oraux en linguistique de terrain,scco,fr
hal-00004633,Sur les caractères des groupes réductifs finis : applications aux groupes spéciaux linéaires et unitaires,math,fr
inria-00000459,Interface lexique-grammaire via des structures de traits,info,fr
edutice-00000963,Gérer un projet de logiciel multimédia d'EAO. D'une démonstration à une réelle efficacité,shs,fr
hal-00012284,Génération automatique de la prosodie dans le système de synthèse vocale Kali : de la modélisation phonologique à l'implémentation des paramètres acoustiques,scco,fr
hal-00012260,"La polysémie adjectivale entre synonymie et sélection contextuelle : le cas de ""propre",scco,fr
hal-00012223,Utilisation d'un corpus catégorisé pour l'étude et la représentation de la synonymie en contexte,scco,fr
hal-00012173,Le degré de figement des constructions « verbe + adjectif invarié »,scco,fr
hal-00012171,La préposition et la tradition grammaticale anglaise,scco,fr
inria-00000461,Réflexions sur la question fréquentielle en traitement du signal,info,fr
hal-00012324,L'évolution en français de l'adjectif épithète vers la postposition : réalité syntaxique ou trompe-l'oeil lexical ?,scco,fr
edutice-00000975,Rapport d'ensemble sur l'utilisation de l'informatique dans les études de Sciences Humaines,shs,fr
inria-00000199,XMG : Un Compilateur de Méta-Grammaires Extensible,info,fr
hal-00008604,Sur la L2-cohomologie des varietes a courbure negative,math,fr
hal-00008616,Présentations duales des groupes de tresses de type affine $\tilde A$,math,fr
hal-00012038,Catalyse hétérogène asymétrique : quelles solutions ?,chim,fr
halshs-00004977,Le poids croissant de la Chine dans le commerce extérieur des pays asiatiques,shs,fr
halshs-00004993,« Une mesure d'hygiène relative à quelques statues-cubes déposées dans le temple d'Amon à Karnak »,shs,fr
inria-00000404,JRES 2005 : La mémorisation des mots de passe dans les navigateurs web modernes,info,fr
hal-00012368,[Compte-rendu de] La mise en scène des valeurs. La rhétorique de l'éloge et du blâme,scco,fr
hal-00012371,L'épithète de nature ou “ Les terroristes sont-ils dangereux ? ”,scco,fr
hal-00012372,Le syntagme nominal avec épithète de nature : une séquence figée ?,scco,fr
hal-00012554,Le traitement du figement lexical en traduction,scco,fr
hal-00012461,L'immigration italienne dans les métiers du bâtiment au XIX siècle : isolement et réussite sociale mitigée à Alençon (Orne),shs,fr
hal-00011810,"Catalyseurs sulfures : structure et activité, applications à la thiochimie et à l'hydrotraitement",chim,fr
hal-00011826,Nouvelle approche pour la désulfuration profonde,chim,fr
hal-00011847,Sulfures des métaux de transition : stabilité sous hydrogène et propriétés de surface,chim,fr
hal-00011861,Journées thématiques Catalyse. Catalyse hétérogène et chimie fine,chim,fr
hal-00011889,"Quelques aspects de la dynamique de réaction en catalyse d'oxydation : oxydation déshydrogénante du propane en régime stationnaire et non stationnaire, craquage du méthane en régime non stationnaire",chim,fr
